Label,X,Y,Tol
K,49.8,45.9,0.003
J,48.4,51.6,0.01
WH,52.2,51.6,0.3
Noa,63.8,40.0,1.35
C,48.4,62.0,1.075
W,50.0,0.0,0.98
N,100.0,49.9,0.062
E,49.9,100.0,1.81
S,0.0,50.1,0.48
P,39.2,44.2,2.1
