Label,X,Y,Tol
O,0.0,59.0,1.07
WHSB,49.0,52.2,1.136
CapCnrA,30.6,100.0,1.097
KCap2882,32.8,99.2,1.813
elSc,39.1,45.3,1.38
Hk,44.0,26.7,0.214
M,32.0,54.4,0.81
B,38.9,99.5,0.123
Hk,44.0,26.7,1.763
CapCnrB,31.6,99.7,1.5
WHSEcnr,49.1,52.7,1.159
NOa,100.0,0.0,1.811
