Label,X,Y,Tol
KE,55.0,68.8,1.494
KW,55.0,44.8,1.928
JN,60.6,62.8,1.937
JS,42.5,62.8,1.741
CapK,52.2,56.8,1.118
CapNE5,100.0,100.0,0.488
CapSW5,4.4,47.5,0.254
Cap275,52.9,69.2,1.511
Cap290,56.8,66.7,0.987
Cap320,69.0,66.0,1.833
SN3,0.0,61.1,0.219
SN5,27.0,61.1,1.068
PCap,43.4,64.4,0.391
KNo,68.5,56.8,0.972
KSo,33.1,56.8,1.772
KJa,49.6,68.4,0.645
KJb,60.4,45.2,0.582
CapSc1r2,63.7,21.6,1.959
CapSc2ten,68.5,0.0,1.784
